	Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10	Sample.11	Sample.12	Sample.13	Sample.14	Sample.15	Sample.16	Sample.17	Sample.18	Sample.19	Sample.20
Clostridium colinum et rel.	13912.7938093788	2646.90212490043	20705.6898939091	7535.22116923807	12213.1934133176	2534.0856322582	12780.5200521457	1921.21068312754	35269.4888515157	23752.7168249735	39020.5752250975	15014.7735290283	3381.16510035888	2023.31113635331	1267.96913720893	1258.76067262234	13941.7481597125	18661.9126603125	28729.6411724201	25110.1536846123
Clostridium difficile et rel.	4163.09481378146	2056.12500986437	50702.6445876485	3737.63796201786	3106.09284445327	5363.51871501809	21956.5266757647	101952.881447459	2599.10110751916	16360.7636394778	18556.2102947605	3197.40141771654	7007.71656830733	1823.83928391164	16372.1088364269	2779.73112251372	39763.7940543791	14022.9522690876	3579.4706124845	46501.4801625251
Clostridium felsineum et rel.	216.7976754687	193.298995149101	495.447263507063	232.215427217038	226.039806816918	221.330045873955	358.575489997931	1080.6284424205	240.424925762896	242.548808956848	603.887396809098	175.296233287111	198.646376249205	185.57632630064	483.561816836182	289.272312668131	563.876021240279	344.457352135955	190.493522040423	1954.83902628772
Clostridium leptum et rel.	26668.4823902554	29540.26060316	56895.4141205199	27465.3608032873	18625.7040548255	1679.35925940337	46487.4279722839	17130.7354643844	21824.8341133311	176442.517947687	27083.661524391	11777.8995394518	9054.92163216003	1904.25125967672	10668.2445433354	2319.16960481737	45150.8281174199	8053.45876638441	12480.1909396696	30658.782025489
Clostridium nexile et rel.	97414.7189390615	39585.2771531528	198314.858578196	37879.1469919746	74256.5175641605	74210.9147719837	252901.054564257	154549.617149367	81255.7822853476	205355.757273361	167457.175241159	76613.3377872669	141920.863882266	1116.29577005359	14578.7229808059	1073.01533743683	52678.1246563954	112407.0112156	12061.9209506249	151591.556534277
Clostridium orbiscindens et rel.	93697.7105482492	44137.6680167635	186279.630325332	88985.2674933106	64868.5900030881	7976.86779625692	145480.273415814	81192.8014635593	105723.098604463	88161.2255327602	75975.5883284162	99075.858036482	10888.7538416396	8551.22222590994	14766.3334432874	5753.82345361188	69351.0656028495	38100.1769261973	45118.9171535218	70546.6912962241
Clostridium ramosum et rel.	1029.80349519631	791.237598927368	7984.97134991304	5161.84959395559	1397.55033661275	16008.1066790108	10107.463310503	3345.44141101468	1023.25892089464	3914.30370776467	1092.5737376837	2750.49216667943	2359.14196946743	652.161187654592	18684.4557978124	919.203057069119	1435.40446601236	2339.80368927083	11908.0565863248	1224.8876370185
Clostridium sphenoides et rel.	124455.807135626	56135.3143239105	56238.5838926764	59264.8000569343	60533.365641325	27439.7893261377	88989.3671547334	19602.6651910966	36806.4495324639	208860.182649501	59864.5077579706	118215.536988856	20245.9185760332	3643.08563575	14521.8466759192	4736.11500664431	44620.9115931258	58904.1935358876	70395.0786219036	95318.9530732339
Clostridium stercorarium et rel.	93560.3918412874	9382.50555674548	25708.3372253594	38953.5764507775	59089.1015297493	1260.60605850324	45340.9752643895	39457.699717067	3355.43712251375	22542.9312745186	13613.4420354488	10744.8814089248	100636.250934326	1018.28594108876	88022.7859957184	1430.11110560388	10025.1874210852	12337.1011790204	5775.61640372377	54757.5972535539
Clostridium symbiosum et rel.	134132.799956473	35814.3716906184	169439.959341224	205014.075841494	179947.284054317	60598.5556184912	125217.919292702	88235.8308015665	124904.30447415	157107.573034224	93726.216940196	143415.928790446	70620.2099961001	10826.2967898368	68292.6317180577	10086.3458059513	102952.553898059	52493.8814101926	162935.908920068	172375.404513579
Clostridium thermocellum et rel.	247.058995662267	233.196042624354	358.684513464555	281.592007210755	280.729580111027	273.759824286282	228.968772619398	215.273064760327	274.298174627109	251.161254965917	280.218531543939	217.05203060239	225.154158117591	221.165639341371	273.147075120427	341.913628745319	426.008201064166	247.147110557319	234.914564260657	268.749160236764
Collinsella	11016.4337270827	28753.7226298408	2685.57947802026	45737.3978291221	5867.0531132942	1372.39474474942	137302.301923535	994.194921302154	1768.41104914757	6412.96968535111	78328.754148817	1667.79816842803	102900.455772423	1104.31500889521	1447.99883249226	2149.89018642309	9999.4281857938	46274.0648688014	1079.12406179409	41540.9495107685
Coprobacillus catenaformis et rel.	1754.16671606841	1067.18046204683	21545.7310071605	1340.00165774695	2798.94241921481	59526.3505311913	23622.4516079216	2407.81952897361	1439.29179839718	8721.71369918431	1761.3233153885	13416.99679629	7036.23540668495	755.607253405508	3044.57290002367	1370.2044185492	2117.75221746305	5751.20967769681	2655.81619957645	2778.13304683685
Coprococcus eutactus et rel.	181508.680810953	23586.1322685738	75729.1710341346	123342.440674235	64389.7160080202	76975.7589151901	97025.1727379753	65687.1169173226	23927.6208180926	92313.2041045686	56741.7787676457	52722.192398128	32604.7351108511	8900.49737779467	47228.0002504696	5286.59963174282	101564.662727708	41090.1364738637	5415.78023432423	189577.941999579
Corynebacterium	327.566009033726	380.06117541955	501.4429450458	378.366032428063	378.769340444172	355.531791683519	435.446881659604	319.042339653368	384.043839528826	343.739815244373	373.611726548129	294.863230289941	306.494492662476	336.291372382987	371.732460137733	766.570197537619	612.460048887504	314.987163151446	306.609087382879	431.565336898128
Desulfovibrio et rel.	937.33372182489	1287.39164494933	1101.99639649076	796.211185229449	835.785900848177	761.6274482763	670.050935691067	616.534283287499	844.716760631859	745.569769344436	788.397866551251	620.644999713101	646.01412170603	665.860671625197	799.53498445038	1190.2823749468	1416.32590121047	740.435880056897	662.254974458189	830.631622019772
Dialister	43399.6322538461	2288.20106399178	2181.65854023991	483.097882738926	8366.6133674398	477.413910525507	655.079556165859	453.654113249963	38950.3352597184	6035.96207583915	6545.58141193704	432.268083041272	407.920218624692	589.471504908698	502.38217450326	556.030635180515	1065.84907461911	2086.22301511398	419.755594128984	1648.77611767264
Dorea formicigenerans et rel.	131179.289083416	72297.606482785	343719.08436712	225784.254591488	120427.09273642	151597.615704042	414060.72467095	97162.400300553	110112.285040557	297319.842737097	179304.708611855	202016.82328142	106928.519643141	17383.3067324132	105337.278670797	5320.85833296672	153349.534544375	163522.209190554	41508.0854395574	228495.642090345
Eggerthella lenta et rel.	2415.26522592654	1556.36066516491	2412.586649007	6280.11602196569	2175.80273402213	6278.8263261303	3250.16132066884	18324.0652105686	1597.74070181577	1213.99659009203	2793.10270055803	1594.30717024883	7912.36412544176	759.24410643711	4303.29515585721	1549.54971501846	4741.00349225437	1311.60748558862	1286.37123937758	2661.38714550957
