	Sample-1	Sample-2	Sample-3	Sample-4	Sample-5	Sample-6	Sample-7	Sample-8	Sample-9	Sample-10	Sample-11	Sample-12	Sample-13	Sample-14	Sample-15	Sample-16	Sample-17	Sample-18	Sample-19	Sample-20
Clostridium sphenoides et rel.	5.09501516569446	4.74923615877584	4.75003437646164	4.77279682354997	4.781994821258	4.4383807726744	4.94933811830905	4.29231512233082	4.56592392603598	5.31985565346127	4.77716941582365	5.0726745593294	4.30633748589338	3.56146938005239	4.16202184709176	3.6754222397758	4.64953843855697	4.77014621439093	4.8475422983174	4.97917926366797
Clostridium stercorarium et rel.	4.97109203201433	3.97231883029409	4.41007398807017	4.59054733778603	4.77150738643188	3.10057939002441	4.65649085737381	4.59613176339707	3.52574910499074	4.3530103870241	4.1339679465116	4.03120162655303	5.00275444935654	3.00786974774507	4.9445951102326	3.1553697791967	4.00109250051239	4.09121312648415	3.76159834119624	4.73844438317238
Clostridium symbiosum et rel.	5.12753499036682	4.55405733651681	5.22901583855021	5.31178367983834	5.25514529622858	4.78246227277363	5.09766648297245	4.94564497922984	5.09657740536499	5.1961971197803	4.97186108800509	5.15659738983674	4.84892900464611	4.03447992857637	4.8343738489698	4.00373385367459	5.01263712443707	4.72010868579362	5.21201680761876	5.23647529834451
Clostridium thermocellum et rel.	2.39280067160474	2.36772117609989	2.55471262601502	2.44962032350442	2.44828817609066	2.43736971344365	2.35977625612224	2.33298969374475	2.43822291751335	2.39995264441104	2.44749685286676	2.33656385317996	2.35247997186679	2.3447176551662	2.43639655441729	2.53391641220613	2.62941795976617	2.39295553740919	2.37090994305244	2.4293471158814
Collinsella	4.04204102615687	4.4586940790409	3.42903800957127	4.6602714523433	3.76842001981786	3.13747904636264	5.13767781840434	2.99747154027946	3.24758321974256	3.80705918697543	4.89392121896445	3.22214349255976	5.01241729836797	3.0430929747617	3.16076821169374	3.33241627728841	3.99997516571452	4.66533765105708	3.03307137633754	4.61847641907858
Coprobacillus catenaformis et rel.	3.24407086635489	3.02823786557648	4.33336123349008	3.12710533564086	3.44699396410586	4.77470925744257	4.37332496798285	3.38162393254089	3.15814885063345	3.94060182632902	3.2458390840768	4.1276553160744	3.84734036093239	2.87829611825306	3.48352637737197	3.13678536367121	3.32587514515597	3.75975920140171	3.42419801562376	3.44375304058211
Coprococcus eutactus et rel.	5.25889740038118	4.37265672968879	4.87926320286619	5.09111253790304	4.80881650963286	4.88635397936873	4.98688442460538	4.81748020060462	4.3788995177968	4.96526382518209	4.75390294613845	4.72199346165067	4.51328067623914	3.94941427657705	4.67419955687095	3.72317642137376	5.00674263066595	4.61373758369914	3.73366103290073	5.27778780438836
Corynebacterium	2.51529882942849	2.57985350716626	2.7002215254693	2.57791214096652	2.57837481770504	2.55087844145227	2.63893518481071	2.50384832148243	2.58438080295797	2.53622983920575	2.57242049896924	2.46962061901567	2.48642267517487	2.52671572555274	2.57023048588234	2.88455193088943	2.78707776468786	2.4982928551036	2.4865850224745	2.63504655510629
Desulfovibrio et rel.	2.97189424162781	3.10971068627176	3.04218017438261	2.90102827428966	2.92209504061057	2.88174258718856	2.82610781799746	2.78995723118092	2.92671111141683	2.87248829034235	2.89674544038382	2.79284326080436	2.81024201166687	2.82338336449375	2.90283747148606	3.07565000284937	3.15116319743004	2.8694874556416	2.82102522913858	2.91940846061359
Dialister	4.63748604954011	3.35949418320909	3.33878677847321	2.68403513411907	3.92254970011191	2.67889506899929	2.81629404610741	2.6567248529487	4.59051120015541	3.7807465024247	3.81594822885183	2.63575317013745	2.61057523171945	2.7704628161147	2.70103422138955	2.74509872022113	3.02769571247613	3.31936073220959	2.622996492739	3.21716168811243
Dorea formicigenerans et rel.	5.11786527294514	4.85912391958325	5.5362036462054	5.35369365245848	5.08072420205712	5.18069237085592	5.61706403787349	4.98749823507925	5.04183577517235	5.47322389441737	5.25359169445507	5.30538753753603	5.02909355433626	4.24013239346139	5.02258209441331	3.72598169605499	5.18568246212407	5.21357674582733	4.61813270200749	5.35887792154301
Eggerthella lenta et rel.	3.38296482859962	3.1921102460859	3.38248292015462	3.7979676671821	3.33761951813589	3.79787847053304	3.51190491757504	4.26302182864758	3.20350629881527	3.08421746688232	3.44608690471842	3.20257199930108	3.89830626519571	2.88038142943222	3.63380113464031	3.1902055144971	3.67587027522325	3.11780388660403	3.10936632157909	3.42510805490795
Enterobacter aerogenes et rel.	2.77221277197972	2.64988028463087	2.83772750043434	2.63593059723999	2.63990511447413	3.00661795451986	3.16494197810596	3.19663098191354	2.68769320883692	3.14816429460718	2.79315906649971	2.84817989925944	2.70129211691612	3.70689787031652	2.72461505445676	2.87590205095073	2.8246978991603	2.65507705431474	2.56404053623429	3.26166642941992
Enterococcus	2.91764844295113	2.88652505173388	3.16872218960156	3.00231872063648	3.1634246920665	3.36292681276036	2.92764279470256	3.77098920123041	3.00147256137926	2.99419166191535	3.00620705127506	2.89149142876152	2.97137838728565	4.54990627537762	4.01287747065932	3.48718380441611	3.33552255138617	2.9398599269715	2.90012877439152	3.00562888751378
Escherichia coli et rel.	3.05591491904505	3.16739677566782	3.24243634751224	3.24291950207382	3.12147188016579	3.51573691476103	3.04100523316473	3.02805828988701	3.12241461871674	3.13212541120519	3.32854016189572	3.22385499116326	3.04649453805825	4.90305250423938	3.29273491093491	4.44757138038097	3.30424509811573	3.06346812545009	3.06596918981756	3.15636450086642
Eubacterium biforme et rel.	3.09963833788273	3.40800754963639	3.26884580554917	3.08707471015949	3.28443984541001	2.8058568791124	2.79927783684486	2.73811532017817	3.41282043179701	3.32894535694646	4.61671714134603	4.49527129430228	2.7397306755858	2.73870299572005	2.8279179983209	2.97762156188383	3.21475334539044	2.84200653861636	2.76462365083728	3.80274747770934
Eubacterium cylindroides et rel.	2.84126313632306	2.82232303977168	3.78855702885549	3.11460142992012	2.93444737957038	3.67497162513197	3.17039615564899	3.14802815695896	2.91878182158273	3.51943576101448	2.95527676867038	3.00803926138795	2.8328334374719	2.8078168162139	2.93223160236728	2.93457175251149	3.1109022023352	2.8463762229706	3.43887412474539	2.88334390040406
Eubacterium hallii et rel.	4.47111479844525	4.03823030957733	5.28874018930901	4.40466027976057	5.2491212758979	4.07968896211129	5.19701834970391	5.4626124875306	4.1263398032912	5.08423815097831	4.97079531301405	4.68706274763334	5.4794256922935	2.77607251218462	3.84553159411785	2.88725430377813	4.67389058867676	5.022501792275	3.48746320260722	4.92564809936076
Eubacterium limosum et rel.	3.09615122701259	2.91627655325223	3.14598063009213	3.21439230124461	2.9875365359426	2.94835833153711	2.99316892531471	2.92108795763816	2.97682115170476	2.99914131743577	2.96824876157008	2.95874659184988	3.0420721365281	2.89694048436428	3.0048293098284	3.08156474439445	3.24333424568374	2.883851082828	2.86153042120474	3.16746811247675
Eubacterium rectale et rel.	5.18598852840175	4.3167212972274	5.19206053606665	4.37453301193607	4.47240186738978	4.70931291249889	5.07677394825778	4.97297953784995	5.16085729716527	5.27630400471501	4.95928990579981	5.23462325861419	4.92336298796317	3.28125751609308	3.8406395083287	3.39227008802503	4.84214161228744	5.22538214098458	5.07190176811358	5.22452702786792
Eubacterium siraeum et rel.	4.29405778243331	4.99558807779739	4.25669050963012	3.86597423129497	4.26887087841927	4.16018069339788	4.45600369404154	3.05995852243334	3.60760177531839	4.05082724403623	4.25002515180177	3.99009136197736	3.00461003848848	3.58966585590227	3.1045739238419	3.40179352085493	3.94865632990291	3.1426599429145	3.01818716189349	4.33219156986719
Eubacterium ventriosum et rel.	4.87288160822273	3.97813460512535	5.15883385188952	4.05510180927094	4.4582543212874	3.92917521220386	4.88341189530654	4.91191411469795	4.6025220408795	4.85322269201615	4.51741714275615	4.83467691465078	4.8694227852763	2.82080644622521	3.73248440320554	2.97484686426151	4.29979103289863	4.75572439840148	3.9110558805712	4.8835968799809
Faecalibacterium prausnitzii et rel.	5.81336385736469	4.7080116075776	5.6592390327778	5.59100308285511	5.72019437643667	4.13358085880873	5.56574270695945	4.31284245283175	5.76512087564721	5.87253783416184	5.67272732935181	5.71109296218934	5.0273260017774	3.61620722438929	4.02347363304954	3.69731891359198	5.89135337040008	4.86252333602526	4.90005087530865	5.87715643485005
Fusobacteria	2.83538979515284	2.82899624516317	3.02248512344679	2.90907998514322	2.91775556143963	2.9056943774216	2.82137677211955	2.81528706340609	2.92596114507497	2.87951788385035	3.000228095515	2.81531373282421	2.828069267257	2.80843446338546	2.91301729082555	3.02100097812783	3.1114792609401	2.84212531108184	2.84042418194075	2.88196705288276
Gemella	2.48201702682595	2.47380009253263	2.67449458331841	2.60050155118192	2.67383914902968	2.5801059458218	2.51041023246618	2.5654678055065	2.58348009228379	2.69169559295959	2.58804167858465	2.5064386565491	2.50312049429012	2.7269530557524	2.61734929685409	2.83165667888242	2.76515039783437	2.5294898698361	2.518817928434	2.53024163952582
Granulicatella	1.99199268434285	1.91368346522091	2.12822857077877	2.13112495159292	2.45497426174756	2.12127823434997	1.99228736086802	2.13889560639414	2.02448439521264	2.23518055413448	2.08465753912084	2.03739474745238	1.97003982252038	3.00230094108211	2.53197998068926	2.28930331063732	2.23034690744596	1.96940579706365	1.94370942554093	2.17870907145921
Haemophilus	2.07398422675731	2.18394491923276	2.29804639545621	2.15417539835099	2.17086432124389	2.32905218961611	2.0922244351329	2.03261793461252	2.15808658908882	2.35069853092861	2.17514724959826	2.03931041347309	2.07232707262021	2.56889124844878	2.14366020089683	3.94963763360141	2.35238715248167	2.13457517231786	2.13538564248045	2.09206122639076
Helicobacter	2.71130006949027	2.71882455475147	2.89017233560389	2.78847918756176	2.80529189084568	2.77667945234566	2.70486443155691	2.68455294977476	2.79571482107059	2.75243774836913	2.79255475250675	2.69420591867773	2.6978848451314	2.76028859150393	2.78460478962594	3.02026113437741	2.98090943288565	2.72354624946891	2.71675955341477	2.75060607084906
